Commodity,Strategy,Cumulative Return (%),Cumulative_Return_Factor,CAGR (%)
crude_oil,Momentum Strategy,335.72073613625645,4.357207361362565,15.856611629905881
crude_oil,Range Trading Strategy,301.2552642957134,4.012552642957134,14.905832695449561
crude_oil,Breakout Strategy,533.8966767287137,6.338966767287137,20.282334217058384
crude_oil,Mean Reversion Strategy,-109.69518230228093,-0.09695182302280925,
crude_oil,Seasonal Strategy,31.300129015149448,1.3130012901514945,2.7605725328655684
wheat,Momentum Strategy,-38.347347274266916,0.6165265272573308,-4.721441757376721
wheat,Range Trading Strategy,191.71880729646165,2.9171880729646165,11.300327675070964
wheat,Breakout Strategy,11.202650240979661,1.1120265024097966,1.0674978173527583
wheat,Mean Reversion Strategy,-24.166481827183507,0.7583351817281649,-2.7283863527678864
wheat,Seasonal Strategy,49.663697254743575,1.4966369725474358,4.114602885374619
cotton,Momentum Strategy,-35.08522150446461,0.6491477849553539,-4.2289259512328865
cotton,Range Trading Strategy,145.272755415901,2.45272755415901,9.38680335682196
cotton,Breakout Strategy,-19.627864961994913,0.8037213503800509,-2.16132770829347
cotton,Mean Reversion Strategy,-24.051893992694573,0.7594810600730543,-2.713698162065159
cotton,Seasonal Strategy,50.3671384034033,1.503671384034033,4.163435068810162
silver,Momentum Strategy,-79.44420613960202,0.20555793860397986,-14.632330530310067
silver,Range Trading Strategy,2.481695545999041,1.0248169554599904,0.24544088021880572
silver,Breakout Strategy,-37.30400643483534,0.6269599356516466,-4.561417816414659
silver,Mean Reversion Strategy,-18.343958106737645,0.8165604189326235,-2.006147334115027
silver,Seasonal Strategy,-51.02710226848195,0.4897289773151805,-6.890160033060133
natural_gas,Momentum Strategy,-96.0589035808621,0.039410964191379017,-27.629477858127206
natural_gas,Range Trading Strategy,496.1945061757144,5.961945061757144,19.547031626099564
natural_gas,Breakout Strategy,-94.75514427624164,0.05244855723758368,-25.531371644706546
natural_gas,Mean Reversion Strategy,130.8275294614322,2.308275294614322,8.724835771073746
natural_gas,Seasonal Strategy,-88.79254425539698,0.11207455744603023,-19.656508083472136
copper,Momentum Strategy,-58.583114749426635,0.41416885250573365,-8.437478613254523
copper,Range Trading Strategy,2.727611247407302,1.027276112474073,0.26946990164404827
copper,Breakout Strategy,-5.7431522044717465,0.9425684779552825,-0.5897213434724158
copper,Mean Reversion Strategy,-31.609532096098647,0.6839046790390135,-3.7280967927826314
copper,Seasonal Strategy,65.13361761411068,1.6513361761411067,5.14377112283293
sugar,Momentum Strategy,-10.831934632458484,0.8916806536754152,-1.1399252715537878
sugar,Range Trading Strategy,99.8019222991288,1.998019222991288,7.166726798780143
sugar,Breakout Strategy,31.170579677797463,1.3117057967779746,2.7504289948153904
sugar,Mean Reversion Strategy,-8.341940640956235,0.9165805935904376,-0.8672701191520304
sugar,Seasonal Strategy,-49.35992893646935,0.5064007106353066,-6.577941894592588
gold,Momentum Strategy,-39.34365455493594,0.6065634544506406,-4.87654323856993
gold,Range Trading Strategy,-15.980327288408313,0.8401967271159169,-1.726121004894432
gold,Breakout Strategy,-0.6360414155326621,0.9936395858446734,-0.06378692519146689
gold,Mean Reversion Strategy,6.4009565487407105,1.064009565487407,0.6223725494462151
gold,Seasonal Strategy,-1.6650083074344346,0.9833499169256557,-0.16776166042979934
corn,Momentum Strategy,-50.341049262270275,0.49658950737729723,-6.760539082732486
corn,Range Trading Strategy,30.747209798794483,1.3074720979879448,2.7172167080597998
corn,Breakout Strategy,19.36309204045812,1.1936309204045812,1.7857558580876454
corn,Mean Reversion Strategy,0.07435585772088693,1.0007435585772089,0.007433098985987208
corn,Seasonal Strategy,157.1215374146704,2.5712153741467043,9.90408770908946
coffee,Momentum Strategy,-64.43929978106327,0.35560700218936736,-9.822741019018299
coffee,Range Trading Strategy,-8.198154993638651,0.9180184500636135,-0.8517299564104075
coffee,Breakout Strategy,-54.42779232284944,0.45572207677150556,-7.557856570920429
coffee,Mean Reversion Strategy,54.46590955989543,1.5446590955989543,4.443944329167104
coffee,Seasonal Strategy,4.970666467798668,1.0497066646779867,0.48628613346495264
